Compiled shader: Skybox/Procedural, pass: <unnamed>, stage: vertex, keywords _SUNDISK_SIMPLE
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON _SMOOTHNESS_TEXTURE_ALBEDO_CHANNEL_A
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON _SMOOTHNESS_TEXTURE_ALBEDO_CHANNEL_A
Compiled shader: Hidden/Nature/Tree Creator Leaves Optimized, pass: ShadowCaster, stage: vertex, keywords SHADOWS_DEPTH
Compiled shader: Hidden/Nature/Tree Creator Leaves Optimized, pass: ShadowCaster, stage: fragment, keywords SHADOWS_DEPTH
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords SHADOWS_CUBE _ALPHAPREMULTIPLY_ON
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords SHADOWS_CUBE _ALPHAPREMULTIPLY_ON
Compiled shader: NatureManufacture Shaders/Trees/Tree Bark Metalic, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NatureManufacture Shaders/Trees/Tree Bark Metalic, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Nature/SpeedTree, pass: <unnamed>, stage: vertex, keywords GEOM_TYPE_BRANCH INSTANCING_ON LOD_FADE_PERCENTAGE SHADOWS_DEPTH
Compiled shader: Nature/SpeedTree, pass: <unnamed>, stage: fragment, keywords GEOM_TYPE_BRANCH INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NatureManufacture Shaders/Standard Shaders/Standard Metalic Snow, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE UNITY_PASS_SHADOWCASTER _USESNOW_ON
Compiled shader: NatureManufacture Shaders/Standard Shaders/Standard Metalic Snow, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE UNITY_PASS_SHADOWCASTER _USESNOW_ON
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: vertex, keywords SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: fragment, keywords SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON _METALLICGLOSSMAP
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON _METALLICGLOSSMAP
Compiled shader: Particles/Standard Surface, pass: ShadowCaster, stage: vertex, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON
Compiled shader: Particles/Standard Surface, pass: ShadowCaster, stage: fragment, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON
Compiled shader: Nature/Terrain/Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Nature/Terrain/Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON _METALLICGLOSSMAP _PARALLAXMAP
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON _METALLICGLOSSMAP _PARALLAXMAP
Compiled shader: Hidden/PostProcessing/ScalableAO, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/ScalableAO, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/ScalableAO, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/ScalableAO, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/ScalableAO, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/ScalableAO, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/Internal-DeferredReflections, pass: <unnamed>, stage: vertex, keywords UNITY_HDR_ON
Compiled shader: Hidden/Internal-DeferredReflections, pass: <unnamed>, stage: fragment, keywords UNITY_HDR_ON
Compiled shader: Hidden/PostProcessing/ScalableAO, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/ScalableAO, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Skybox/Panoramic, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Skybox/Panoramic, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/Internal-MotionVectors, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/Internal-MotionVectors, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/Aura2/PostProcessShader, pass: <unnamed>, stage: vertex, keywords AURA AURA_USE_CUBIC_FILTERING AURA_USE_DITHERING
Compiled shader: Hidden/Aura2/PostProcessShader, pass: <unnamed>, stage: fragment, keywords AURA AURA_USE_CUBIC_FILTERING AURA_USE_DITHERING
Compiled shader: Hidden/PostProcessing/CopyStd, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/CopyStd, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Copy, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Copy, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/TemporalAntialiasing, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/TemporalAntialiasing, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: CoC Calculation, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: CoC Calculation, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: CoC Temporal Filter, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: CoC Temporal Filter, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: Downsample and Prefilter, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: Downsample and Prefilter, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: Bokeh Filter (medium), stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: Bokeh Filter (medium), stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: Postfilter, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: Postfilter, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: Combine, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/DepthOfField, pass: Combine, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Bloom, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Bloom, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Bloom, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Bloom, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Bloom, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Bloom, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/PostProcessing/Uber, pass: <unnamed>, stage: vertex, keywords BLOOM COLOR_GRADING_HDR_3D FINALPASS
Compiled shader: Hidden/PostProcessing/Uber, pass: <unnamed>, stage: fragment, keywords BLOOM COLOR_GRADING_HDR_3D FINALPASS
Compiled shader: Hidden/RemoveAlpha, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/RemoveAlpha, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/Internal-GUITextureClip, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/Internal-GUITextureClip, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/Internal-GUITextureClipText, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/Internal-GUITextureClipText, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/Internal-CombineDepthNormals, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/Internal-CombineDepthNormals, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Nature/Terrain/Diffuse, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Nature/Terrain/Diffuse, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: DAFoliage2018, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: DAFoliage2018, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NatureManufacture Shaders/Grass/Advanced Grass Specular, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NatureManufacture Shaders/Grass/Advanced Grass Specular, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Nature/Terrain/Diffuse, pass: ShadowCaster, stage: vertex, keywords SHADOWS_DEPTH
Compiled shader: Nature/Terrain/Diffuse, pass: ShadowCaster, stage: fragment, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Splatmap/Diffuse-Base, pass: ShadowCaster, stage: vertex, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Splatmap/Diffuse-Base, pass: ShadowCaster, stage: fragment, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Splatmap/Diffuse-BaseGen, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/TerrainEngine/Splatmap/Diffuse-BaseGen, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/TerrainEngine/GenerateNormalmap, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/TerrainEngine/GenerateNormalmap, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/TerrainEngine/Details/BillboardWavingDoublePass, pass: ShadowCaster, stage: vertex, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Details/BillboardWavingDoublePass, pass: ShadowCaster, stage: fragment, keywords SHADOWS_DEPTH
Compiled shader: Legacy Shaders/VertexLit, pass: ShadowCaster, stage: vertex, keywords SHADOWS_DEPTH
Compiled shader: Legacy Shaders/VertexLit, pass: ShadowCaster, stage: fragment, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: ShadowCaster, stage: vertex, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: ShadowCaster, stage: fragment, keywords SHADOWS_DEPTH
Compiled shader: Hidden/Nature/Tree Creator Bark Rendertex, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/Nature/Tree Creator Bark Rendertex, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/Nature/Tree Creator Leaves Rendertex, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/Nature/Tree Creator Leaves Rendertex, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Nature/Terrain/Diffuse, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH _NORMALMAP
Compiled shader: Nature/Terrain/Diffuse, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH _NORMALMAP
Compiled shader: Nature/Terrain/Diffuse, pass: DEFERRED, stage: vertex, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _NORMALMAP
Compiled shader: Nature/Terrain/Diffuse, pass: DEFERRED, stage: fragment, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _NORMALMAP
Compiled shader: Standard, pass: DEFERRED, stage: vertex, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _NORMALMAP
Compiled shader: Standard, pass: DEFERRED, stage: fragment, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _NORMALMAP
Compiled shader: Standard, pass: DEFERRED, stage: vertex, keywords LIGHTPROBE_SH UNITY_HDR_ON
Compiled shader: Standard, pass: DEFERRED, stage: fragment, keywords LIGHTPROBE_SH UNITY_HDR_ON
Compiled shader: Standard, pass: DEFERRED, stage: vertex, keywords LIGHTPROBE_SH UNITY_HDR_ON _METALLICGLOSSMAP _NORMALMAP
Compiled shader: Standard, pass: DEFERRED, stage: fragment, keywords LIGHTPROBE_SH UNITY_HDR_ON _METALLICGLOSSMAP _NORMALMAP
Compiled shader: Legacy Shaders/Bumped Diffuse, pass: DEFERRED, stage: vertex, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON
Compiled shader: Legacy Shaders/Bumped Diffuse, pass: DEFERRED, stage: fragment, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON
Compiled shader: Standard, pass: DEFERRED, stage: vertex, keywords LIGHTPROBE_SH UNITY_HDR_ON _METALLICGLOSSMAP _NORMALMAP _PARALLAXMAP
Compiled shader: Standard, pass: DEFERRED, stage: fragment, keywords LIGHTPROBE_SH UNITY_HDR_ON _METALLICGLOSSMAP _NORMALMAP _PARALLAXMAP
Compiled shader: NatureManufacture Shaders/Standard Shaders/Standard Metalic Snow, pass: DEFERRED, stage: vertex, keywords LIGHTPROBE_SH UNITY_HDR_ON _USESNOW_ON
Compiled shader: NatureManufacture Shaders/Standard Shaders/Standard Metalic Snow, pass: DEFERRED, stage: fragment, keywords LIGHTPROBE_SH UNITY_HDR_ON _USESNOW_ON
Compiled shader: Standard, pass: DEFERRED, stage: vertex, keywords LIGHTPROBE_SH UNITY_HDR_ON _METALLICGLOSSMAP _NORMALMAP _SPECULARHIGHLIGHTS_OFF
Compiled shader: Standard, pass: DEFERRED, stage: fragment, keywords LIGHTPROBE_SH UNITY_HDR_ON _METALLICGLOSSMAP _NORMALMAP _SPECULARHIGHLIGHTS_OFF
Compiled shader: Standard, pass: DEFERRED, stage: vertex, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _EMISSION
Compiled shader: Standard, pass: DEFERRED, stage: fragment, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _EMISSION
Compiled shader: NatureManufacture Shaders/Trees/Tree Bark Metalic, pass: DEFERRED, stage: vertex, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _DETALUSEUV3_ON
Compiled shader: NatureManufacture Shaders/Trees/Tree Bark Metalic, pass: DEFERRED, stage: fragment, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _DETALUSEUV3_ON
Compiled shader: Standard, pass: DEFERRED, stage: vertex, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _METALLICGLOSSMAP _NORMALMAP _PARALLAXMAP
Compiled shader: Standard, pass: DEFERRED, stage: fragment, keywords INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON _METALLICGLOSSMAP _NORMALMAP _PARALLAXMAP
Compiled shader: Nature/SpeedTree, pass: DEFERRED, stage: vertex, keywords EFFECT_BUMP EFFECT_HUE_VARIATION GEOM_TYPE_BRANCH INSTANCING_ON LIGHTPROBE_SH LOD_FADE_PERCENTAGE UNITY_HDR_ON
Compiled shader: Nature/SpeedTree, pass: DEFERRED, stage: fragment, keywords EFFECT_BUMP EFFECT_HUE_VARIATION GEOM_TYPE_BRANCH INSTANCING_ON LIGHTPROBE_SH UNITY_HDR_ON
